"역코드","역명","승강기명","운행구간","설치위치","운행상태","승강기 구분"
"150","서울(1)역","에스컬레이터 1호기","~","","사용가능","ES"
"150","서울(1)역","에스컬레이터 1호기","B2(대합실)~B1(연결통로)","4호선 연결통로 상행","사용가능","ES"
"150","서울(1)역","에스컬레이터 2호기","섬식 B1(연결통로)~B2(승강장)","남영방향 하행 2-3","사용가능","ES"
"150","서울(1)역","에스컬레이터 3호기","섬식 B2(승강장)~B1(연결통로)","시청방향 상행 9-3","사용가능","ES"
"150","서울(1)역","에스컬레이터 4호기","지상~B1","4번출구하행","사용가능","ES"
"150","서울(1)역","에스컬레이터 5호기","B1~지상","4번출구상행","사용가능","ES"
"150","서울(1)역","엘리베이터 내부 1호","B2(승강장)~B1(대합실)","섬식(상) 5-1","사용가능","EV"
"150","서울(1)역","엘리베이터 외부 1호기","B1(대합실)~지상","2번출구","사용가능","EV"
"150","서울(1)역","엘리베이터 외부 2호기","B1(대합실)~지상","45번출구","사용가능","EV"
"150","서울(1)역","엘리베이터 외부3호기","B1(대합실)~지상","3번출구","사용가능","EV"
"150","서울(1)역","휠체어리프트 내부 1호기","B2(승강장)~B1(대합실)","내부 C 계단","사용가능","WL"
"151","시청(1)","에스컬레이터 1호기","지상(시청광장)~B1(대합실)","5번출구","사용가능","ES"
"151","시청(1)","에스컬레이터 2호기","B1(대합실)~지상(시청광장)","5번출구","사용가능","ES"
"151","시청(1)","에스컬레이터 3호기","B1(대합실)~지상(덕수궁)","1번출구","사용가능","ES"
"151","시청(1)","엘리베이터 내부 1호기","B2(승강장)~B1(대합실)","상행 3-2","사용가능","EV"
"151","시청(1)","엘리베이터 내부 2호기","B2(승강장)~B1(대합실)","하행 8-3","사용가능","EV"
"151","시청(1)","엘리베이터 외부 1호기","B1(대합실)~지상","12번출구","사용가능","EV"
"152","종각","에스컬레이터 1호기","B1(대합실)~지상","1번출구","사용가능","ES"
"152","종각","에스컬레이터 2호기","B1(대합실)~지상","1번출구","사용가능","ES"
"152","종각","엘리베이터 내부 1호기","B2(승강장)~B1(대합실)","상행 6-4","사용가능","EV"
"152","종각","엘리베이터 내부 2호기","B2(승강장)~B1(대합실)","하행 4-4","사용가능","EV"
"152","종각","엘리베이터 외부 1호기","B1(대합실)~지상","3번출구","사용가능","EV"
"152","종각","엘리베이터 외부 2호기","B1(대합실)~지상","1번출구","사용가능","EV"
"153","종로3가(1)","에스컬레이터 1호기","지상~B1(대합실)","1번출구","사용가능","ES"
"153","종로3가(1)","에스컬레이터 2호기(상행)","B1(대합실)~지상","1번출구","사용가능","ES"
"153","종로3가(1)","에스컬레이터 3호기","지상~B1(대합실)","14번출구","사용가능","ES"
"153","종로3가(1)","에스컬레이터 4호기","B1(대합실)~지상","14번출구","사용가능","ES"
"153","종로3가(1)","엘리베이터 내부 1호기","B2(승강장)~B1(대합실)","상행(의정부행) 4-4","사용가능","EV"
"153","종로3가(1)","엘리베이터 내부 2호기","B2(승강장)~B1(대합실)","하행 6-4","사용가능","EV"
"153","종로3가(1)","엘리베이터 외부1호기","B1(대합실)~지상","1213번출구","사용가능","EV"
"154","종로5가","엘리베이터 내부 1호","B2(승강장)~B1(대합실)","상행 8-3","사용가능","EV"
"154","종로5가","엘리베이터 내부 2호","B2(승강장)~B1(대합실)","하행 3-2","사용가능","EV"
"154","종로5가","엘리베이터 외부 1호기","B1(대합실)~지상","89번출구","사용가능","EV"
"155","동대문(1)","에스컬레이터 1호기","B1(대합실)~지상","1번출구","사용가능","ES"
"155","동대문(1)","엘리베이터 내부1호기","B2(승강장)~B1(대합실)","6번출구","사용가능","EV"
"155","동대문(1)","엘리베이터 내부2호기","B2(승강장)~B1(대합실)","상행 10-4","사용가능","EV"
"155","동대문(1)","엘리베이터 외부1호기","B1(대합실)~지상","하행 2-1","사용가능","EV"
"156","신설동(1)","엘리베이터 내부 1호기","B2(승강장)~B1(대합실)","상행 3-4","사용가능","EV"
"156","신설동(1)","엘리베이터 내부 2호기","B2(승강장)~B1(대합실)","하행 8-1","사용가능","EV"
"156","신설동(1)","엘리베이터 외부 1호기","B1(대합실)~지상","12번출구","사용가능","EV"
"156","신설동(1)","엘리베이터 외부 2호기","B1(대합실)~지상","23번출구","사용가능","EV"
"156","신설동(1)","엘리베이터 외부 3호기","B1(대합실)~지상","45번출구","사용가능","EV"
"156","신설동(1)","휠체어리프트 내부 1호기","B2(승강장)~B1(대합실)","상선 승강장 10-1(내부계단-A)","사용가능","WL"
"156","신설동(1)","휠체어리프트 내부 2호기","B2(승강장)~B1(대합실)","하선 승강장 2-1(내부계단-F)","사용가능","WL"
"156","신설동(1)","휠체어리프트 내부 3호기","B1(대합실)~B1(대합실)","대합실연결통로(6번출구-1)","사용가능","WL"
"156","신설동(1)","휠체어리프트 내부 4호기","B1(대합실)~B1(대합실)","용두방향(내선) 승강장 종점 측","사용가능","WL"
"156","신설동(1)","휠체어리프트 외부 1호기","B1(대합실)~지상","1번출구","사용가능","WL"
"156","신설동(1)","휠체어리프트 외부 2호기","지상~B1(대합실)","6번출구","사용가능","WL"
"157","제기동","에스컬레이터 1호기","지상~B1(대합실)","2번출구","사용가능","ES"
"157","제기동","에스컬레이터 2호기","B1(대합실)~지상","2번출구","사용가능","ES"
"157","제기동","엘리베이터 내부 1호기","B2(승강장)~B1(대합실)","상행(청량리행) 9-4","사용가능","EV"
"157","제기동","엘리베이터 내부 2호기","B2(승강장)~B1(대합실)","하행(서울역행)  2-1","사용가능","EV"
"157","제기동","엘리베이터 외부 1호기","B1(대합실)~지상","1번출구","사용가능","EV"
"158","청량리","에스컬레이터 1호기","지상~B1(대합실)","6번출구","사용가능","ES"
"158","청량리","에스컬레이터 2호기","B1(대합실)~지상","6번출구","사용가능","ES"
"158","청량리","에스컬레이터 3호기","지상~B1(대합실)","2번출구","사용가능","ES"
"158","청량리","에스컬레이터 4호기","B1(대합실)~지상","2번출구","사용가능","ES"
"158","청량리","엘리베이터 외부 1호기","B2(대합실)~지상","6번출구","사용가능","EV"
"158","청량리","휠체어리프트 내부 1호기","B2(대합실)~B1(승강장)","제기동측 승강장","사용가능","WL"
"158","청량리","휠체어리프트 내부 2호기","B2(대합실)~B1(승강장)","섬식(상) 8-3","사용가능","WL"
"159","동묘앞","에스컬레이터 10호기","B1(역무실)~지상","2번출구","사용가능","ES"
"159","동묘앞","에스컬레이터 11호기","지상~B1(대합실)","3번출구","사용가능","ES"
"159","동묘앞","에스컬레이터 12호기","B1(대합실)~지상","3번출구","사용가능","ES"
"159","동묘앞","에스컬레이터 1호기","B2~B3(6호선연결통로)","청량리방향 9-1","사용가능","ES"
