구분,화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,위도,경도,화장실소유구분,화장실설치장소유형,오물처리방식,비상벨 설치유형,화장실입구cctv설치유무,기저귀교환대장소,리모델링년월,데이터기준일자
공중화장실,서울역(1),서울특별시 중구 봉래동2가 122 서울역(1호선),서울특별시 중구 봉래동2가 ,N,4,5,1,0,0,0,9,1,0,서울교통공사,02-6110-1331,05:00~01:00,37.556878,126.972578,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2015,2020-09-28
공중화장실,시청역(1),서울특별시 중구 정동 5-5 시청역(1호선),서울특별시 중구 정동 5-5,N,6,5,2,0,2,1,15,2,2,서울교통공사,02-6110-1321,05:00~01:00,37.565682,126.976849,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2013,2020-09-28
공중화장실,종각역(1),서울특별시 종로구 종로1가 54 종각지하철역사,서울특별시 종로구 종로1가 ,N,3,2,2,0,0,1,6,2,1,서울교통공사,02-6110-1311,05:00~01:00,37.570175,126.983226,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2015,2020-09-28
공중화장실,종각역(1),서울특별시 종로구 종로1가 54 종각지하철역사,서울특별시 종로구 종로1가 ,N,5,5,2,0,2,1,10,2,2,서울교통공사,02-6110-1311,05:00~01:00,37.570384,126.992008,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2008이전,2020-09-28
공중화장실,종로3가역(1),서울특별시 종로3가 10-5  1호선 종로3가역(1호선),서울특별시 종로3가 10-5,N,5,6,2,0,1,0,12,2,1,서울교통공사,02-6110-1301,05:00~01:00,37.570384,126.992008,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2010,2020-09-28
공중화장실,종로3가역(1),서울특별시 종로3가 10-5  1호선 종로3가역(1호선),서울특별시 종로3가 10-5,N,4,5,2,0,1,0,6,2,1,서울교통공사,02-6110-1301,05:00~01:00,37.570866,127.001906,서울교통공사,역사 내 화장실,수세식,유,유,여자화장실,2008이전,2020-09-28
공중화장실,종로5가역(1),서울특별시 종로구 종로5가 82-1 1호선 종로5가역,서울특별시 종로구 종로5가 ,N,4,4,1,0,0,0,8,1,0,서울교통공사,02-6110-1291,05:00~01:00,37.571743,127.011169,서울교통공사,역사 내 화장실,수세식,유,유,"남자화장실,여자화장실",2014,2020-09-28
공중화장실,동대문역(1),서울특별시 종로구 창신동 492-1 1호선 동대문역(1호선),서울특별시 종로구 창신동 4,N,4,6,2,0,1,1,12,2,1,서울교통공사,02-6110-1281,05:00~01:00,37.576087,127.02456,서울교통공사,역사 내 화장실,수세식,유,유,여자화장실,2016,2020-09-28
공중화장실,동묘앞역(1),서울특별시 종로구 숭인동 117 동묘앞역(1호선),서울특별시 종로구 숭인동 1,N,1,2,0,0,1,0,1,0,0,서울교통공사,02-6110-1271,05:00~01:00,37.573281,127.016649,서울교통공사,역사 내 화장실,수세식,유,유,여자화장실,2008이전,2020-09-28
공중화장실,동묘앞역(1),서울특별시 종로구 숭인동 117 동묘앞역(1호선),서울특별시 종로구 숭인동 1,N,1,2,0,0,0,0,6,0,1,서울교통공사,02-6110-1271,05:00~01:00,37.573281,127.016649,서울교통공사,역사 내 화장실,수세식,유,유,여자화장실,2008이전,2020-09-28
