역번호,역명,외부역번호,호선,문화공간여부,휠체어리프트여부,만남의장소여부,환승주차장여부,자전거보관소여부,엘리베이터여부,기차예매역여부,무인민원발급기여부,환전키오스크여부,수유실여부
150,서울역,133,01호선,N,Y,N,N,N,Y,N,N,N,N
151,시청,132,01호선,N,N,N,N,N,Y,N,N,N,N
152,종각,131,01호선,N,N,N,N,Y,Y,N,Y,N,N
153,종로3가,130,01호선,N,N,N,N,N,Y,N,N,N,Y
154,종로5가,129,01호선,N,N,N,N,N,Y,N,N,N,N
155,동대문,128,01호선,N,N,Y,N,Y,Y,N,N,N,Y
156,신설동,126,01호선,N,Y,N,N,N,Y,N,N,N,N
157,제기동,125,01호선,N,N,N,N,Y,Y,N,N,N,N
158,청량리,124,01호선,N,Y,N,N,N,Y,Y,N,N,N
159,동묘앞,127,01호선,N,N,N,N,Y,Y,N,N,N,N
200,까치산,234-4,02호선,N,N,N,N,N,N,N,Y,N,Y
201,시청,201,02호선,N,N,N,N,N,Y,N,N,N,N
202,을지로입구,202,02호선,N,N,N,N,N,Y,N,N,N,N
203,을지로3가,203,02호선,N,N,N,N,N,Y,N,N,N,N
204,을지로4가,204,02호선,N,N,Y,N,N,Y,N,N,N,N
205,동대문역사문화공원,205,02호선,N,N,N,N,Y,Y,N,N,Y,N
206,신당,206,02호선,N,N,Y,N,N,Y,N,N,N,N
207,상왕십리,207,02호선,N,Y,Y,N,Y,Y,N,N,N,N
208,왕십리,208,02호선,N,N,Y,N,Y,Y,N,N,N,N
209,한양대,209,02호선,N,N,Y,N,Y,Y,N,N,N,N
210,뚝섬,210,02호선,N,N,Y,N,Y,Y,N,N,N,N
211,성수,211,02호선,N,N,Y,N,Y,Y,N,N,N,Y
212,건대입구,212,02호선,N,N,Y,N,Y,Y,N,Y,N,N
213,구의,213,02호선,N,N,Y,N,Y,Y,N,Y,N,N
214,강변,214,02호선,N,N,N,N,Y,Y,N,N,N,Y
215,잠실나루,215,02호선,N,N,Y,Y,Y,Y,N,N,N,N
216,잠실,216,02호선,N,Y,N,N,Y,Y,N,N,Y,Y
217,잠실새내,217,02호선,N,N,Y,N,Y,Y,N,N,N,N
218,종합운동장,218,02호선,N,N,Y,N,N,Y,N,N,N,N
219,삼성,219,02호선,N,Y,N,N,Y,Y,N,Y,Y,Y
220,선릉,220,02호선,Y,N,N,N,N,Y,N,Y,N,N
221,역삼,221,02호선,N,N,Y,N,N,Y,N,Y,N,N
222,강남,222,02호선,N,N,N,N,N,Y,N,Y,N,Y
223,교대,223,02호선,N,N,Y,N,Y,Y,N,N,N,N
224,서초,224,02호선,N,N,Y,N,Y,Y,N,N,N,N
225,방배,225,02호선,N,N,Y,N,Y,Y,N,N,N,N
226,사당,226,02호선,Y,N,Y,N,Y,Y,N,N,N,N
227,낙성대,227,02호선,N,N,Y,N,N,Y,N,Y,N,N
228,서울대입구,228,02호선,N,N,Y,N,Y,Y,N,Y,N,N
229,봉천,229,02호선,N,N,Y,N,N,Y,N,Y,N,N
230,신림,230,02호선,N,N,Y,Y,Y,Y,N,Y,N,Y
231,신대방,231,02호선,N,N,Y,Y,Y,Y,N,N,N,N
232,구로디지털단지,232,02호선,N,N,Y,Y,Y,Y,N,N,N,N
233,대림,233,02호선,N,N,Y,N,Y,Y,N,N,N,Y
234,신도림,234,02호선,N,N,N,Y,Y,Y,N,N,N,N
235,문래,235,02호선,N,N,Y,N,Y,Y,N,N,N,N
236,영등포구청,236,02호선,N,N,Y,Y,N,Y,N,N,N,Y
237,당산,237,02호선,N,N,Y,N,N,Y,N,Y,N,N
238,합정,238,02호선,N,N,Y,N,Y,Y,N,Y,N,N
239,홍대입구,239,02호선,N,N,Y,N,Y,Y,N,N,Y,N
240,신촌,240,02호선,N,N,Y,N,N,Y,N,Y,N,Y
241,이대,241,02호선,N,N,N,N,Y,Y,N,N,N,N
242,아현,242,02호선,N,N,Y,N,Y,Y,N,N,N,N
243,충정로,243,02호선,N,N,Y,N,N,Y,N,Y,N,N
244,용답,211-1,02호선,N,Y,N,N,Y,Y,N,N,N,N
245,신답,211-2,02호선,N,N,N,N,Y,Y,N,N,N,N
246,신설동,211-4,02호선,N,Y,N,N,Y,Y,N,N,N,Y
247,도림천,234-1,02호선,N,N,N,N,Y,Y,N,N,N,N
248,양천구청,234-2,02호선,N,N,Y,N,Y,Y,N,N,N,N
249,신정네거리,234-3,02호선,N,Y,Y,N,N,Y,N,N,N,N
250,용두,211-3,02호선,N,N,N,N,Y,Y,N,N,N,N
309,지축,319,03호선,N,N,N,N,Y,Y,N,Y,N,N
310,구파발,320,03호선,N,N,Y,Y,Y,Y,N,Y,N,Y
311,연신내,321,03호선,N,N,N,N,Y,Y,N,Y,N,N
312,불광,322,03호선,N,N,Y,N,Y,Y,N,Y,N,N
313,녹번,323,03호선,N,N,N,N,Y,Y,N,N,N,N
314,홍제,324,03호선,N,N,Y,N,Y,Y,N,Y,N,N
315,무악재,325,03호선,N,N,Y,N,Y,Y,N,N,N,N
316,독립문,326,03호선,N,N,N,N,Y,Y,N,N,N,Y
317,경복궁,327,03호선,Y,N,Y,N,Y,Y,N,N,Y,N
318,안국,328,03호선,Y,N,Y,N,Y,Y,N,N,Y,N
319,종로3가,329,03호선,N,N,Y,N,N,Y,N,N,N,N
320,을지로3가,330,03호선,N,N,Y,N,N,Y,N,N,N,N
321,충무로,331,03호선,N,N,N,N,N,N,N,N,N,N
322,동대입구,332,03호선,N,N,Y,N,N,Y,N,N,N,N
